concatenationXY,time
10946.6765,0.004988193511962891
17711.6765,0.007947921752929688
28657.6765,0.008983135223388672
46368.6765,0.005014657974243164
75025.6765,0.004960298538208008
121393.6765,0.04288148880004883
196418.6765,0.061835289001464844
317811.6765,0.03088665008544922
514229.6765,0.14130854606628418
832040.6765,0.00399327278137207
1346269.6765,0.37959933280944824
2178309.6765,0.2293848991394043
3524578.6765,0.9490406513214111
5702887.6765,1.537928581237793
9227465.6765,0.539109468460083
14930352.6765,1.3065590858459473
24157817.6765,6.688593626022339
39088169.6765,10.56211233139038
63245986.6765,17.497188806533813
17711.10946,0.006980180740356445
28657.10946,0.010942697525024414
46368.10946,0.006985664367675781
75025.10946,0.02646040916442871
121393.10946,0.033916473388671875
196418.10946,0.025929689407348633
317811.10946,0.005991697311401367
514229.10946,0.16156625747680664
832040.10946,0.118682861328125
1346269.10946,0.40691685676574707
2178309.10946,0.6554305553436279
3524578.10946,0.5575079917907715
5702887.10946,1.7267520427703857
9227465.10946,0.23636579513549805
14930352.10946,2.090491771697998
24157817.10946,6.507368326187134
39088169.10946,10.372951745986938
63245986.10946,8.6350736618042
28657.17711,0.010970115661621094
46368.17711,0.01894998550415039
75025.17711,0.025913000106811523
121393.17711,0.03690052032470703
196418.17711,0.056850433349609375
317811.17711,0.0937502384185791
514229.17711,0.14261794090270996
832040.17711,0.23238563537597656
1346269.17711,0.36536645889282227
2178309.17711,0.6170287132263184
3524578.17711,0.009973764419555664
5702887.17711,1.5827670097351074
9227465.17711,2.4638214111328125
14930352.17711,4.0145204067230225
24157817.17711,6.4317545890808105
39088169.17711,10.836554050445557
63245986.17711,19.06338882446289
46368.28657,0.021244525909423828
75025.28657,0.03406047821044922
121393.28657,0.06098818778991699
196418.28657,0.06981086730957031
317811.28657,0.09876728057861328
514229.28657,0.16405844688415527
832040.28657,0.2443695068359375
1346269.28657,0.4052925109863281
2178309.28657,0.6959624290466309
3524578.28657,0.9908368587493896
5702887.28657,1.6594035625457764
9227465.28657,2.6964282989501953
14930352.28657,4.303977012634277
24157817.28657,6.930596351623535
39088169.28657,10.991871356964111
63245986.28657,18.11971426010132
75025.46368,0.03592324256896973
121393.46368,0.045847177505493164
196418.46368,0.04188799858093262
317811.46368,0.03493547439575195
514229.46368,0.1611771583557129
832040.46368,0.031557321548461914
1346269.46368,0.39328575134277344
2178309.46368,0.0323946475982666
3524578.46368,0.5100836753845215
5702887.46368,1.7309346199035645
9227465.46368,2.939845085144043
14930352.46368,0.032915592193603516
24157817.46368,6.907394886016846
39088169.46368,11.044358491897583
63245986.46368,8.69988203048706
121393.75025,0.05486774444580078
196418.75025,0.07828593254089355
317811.75025,0.11904215812683105
514229.75025,0.18354034423828125
832040.75025,0.055850982666015625
1346269.75025,0.3919503688812256
2178309.75025,0.6383090019226074
3524578.75025,0.985274076461792
5702887.75025,1.651170253753662
9227465.75025,0.5093762874603271
14930352.75025,4.109772682189941
24157817.75025,6.608388185501099
39088169.75025,10.777533769607544
63245986.75025,18.220162391662598
196418.121393,0.08979082107543945
317811.121393,0.13167905807495117
514229.121393,0.180511474609375
832040.121393,0.26780056953430176
1346269.121393,0.4049985408782959
2178309.121393,0.646308183670044
3524578.121393,0.9762570858001709
5702887.121393,1.605818271636963
9227465.121393,2.54598069190979
14930352.121393,4.16668438911438
24157817.121393,6.705687761306763
39088169.121393,10.699349880218506
63245986.121393,0.07582831382751465
317811.196418,0.14961028099060059
514229.196418,0.20644783973693848
832040.196418,0.15062880516052246
1346269.196418,0.4248077869415283
2178309.196418,0.6432449817657471
3524578.196418,0.5752487182617188
5702887.196418,1.7660558223724365
9227465.196418,2.6011617183685303
14930352.196418,0.1296849250793457
24157817.196418,6.761735677719116
39088169.196418,10.929041147232056
63245986.196418,9.092048645019531
514229.317811,0.2403254508972168
832040.317811,0.32515835762023926
1346269.317811,0.44918060302734375
2178309.317811,0.23441600799560547
3524578.317811,1.0676889419555664
5702887.317811,1.6961936950683594
9227465.317811,0.2089829444885254
14930352.317811,1.4894061088562012
24157817.317811,6.687851667404175
39088169.317811,10.637066125869751
63245986.317811,17.398694038391113
832040.514229,0.3819849491119385
1346269.514229,0.5142223834991455
2178309.514229,0.728405237197876
3524578.514229,1.0999696254730225
5702887.514229,1.750542163848877
9227465.514229,2.6152737140655518
14930352.514229,4.461954116821289
24157817.514229,7.203060150146484
39088169.514229,11.455186128616333
63245986.514229,17.170685052871704
1346269.832040,0.6143743991851807
2178309.832040,0.8767306804656982
3524578.832040,0.5929582118988037
5702887.832040,1.7877061367034912
9227465.832040,0.5255947113037109
14930352.832040,0.5146510601043701
24157817.832040,6.651850461959839
39088169.832040,10.494343519210815
63245986.832040,8.305915832519531
