concatenationXY,time
10946.6765,0.0
17711.6765,0.0
28657.6765,0.0
46368.6765,0.0
75025.6765,0.0
121393.6765,0.0
196418.6765,0.0
317811.6765,0.0
514229.6765,0.0
832040.6765,0.0
1346269.6765,0.0
2178309.6765,0.0
3524578.6765,0.0
5702887.6765,0.0
9227465.6765,0.0
14930352.6765,0.0
24157817.6765,0.0
39088169.6765,0.0
63245986.6765,0.0
102334155.6765,0.0
165580141.6765,0.0
267914296.6765,0.0
433494437.6765,0.0
701408733.6765,0.0
1134903170.6765,0.0
1836311903.6765,0.0
2971215073.6765,0.0
4807526976.6765,0.0
7778742049.6765,0.0
12586269025.6765,0.0
20365011074.6765,0.0
32951280099.6765,0.0
53316291173.6765,0.0009968280792236328
86267571272.6765,0.0
139583862445.6765,0.0
225851433717.6765,0.0
365435296162.6765,0.0
591286729879.6765,0.0
956722026041.6765,0.0
17711.10946,0.0
28657.10946,0.0
46368.10946,0.0
75025.10946,0.0
121393.10946,0.0009984970092773438
196418.10946,0.0
317811.10946,0.0
514229.10946,0.0
832040.10946,0.0
1346269.10946,0.0
2178309.10946,0.0
3524578.10946,0.0
5702887.10946,0.0009970664978027344
9227465.10946,0.0
14930352.10946,0.0
24157817.10946,0.0
39088169.10946,0.0
63245986.10946,0.0
102334155.10946,0.0
165580141.10946,0.0
267914296.10946,0.0009949207305908203
433494437.10946,0.0
701408733.10946,0.0
1134903170.10946,0.0
1836311903.10946,0.0
2971215073.10946,0.0
4807526976.10946,0.0
7778742049.10946,0.0
12586269025.10946,0.0
20365011074.10946,0.0
32951280099.10946,0.0
53316291173.10946,0.0
86267571272.10946,0.0
139583862445.10946,0.0
225851433717.10946,0.0
365435296162.10946,0.0
591286729879.10946,0.0
956722026041.10946,0.0
28657.17711,0.0
46368.17711,0.0009963512420654297
75025.17711,0.0
121393.17711,0.0
196418.17711,0.0
317811.17711,0.0
514229.17711,0.0
832040.17711,0.0
1346269.17711,0.0
2178309.17711,0.0
3524578.17711,0.0
5702887.17711,0.0
9227465.17711,0.0
14930352.17711,0.0
24157817.17711,0.0
39088169.17711,0.0
63245986.17711,0.0
102334155.17711,0.0
165580141.17711,0.0
267914296.17711,0.0
433494437.17711,0.0
701408733.17711,0.0
1134903170.17711,0.0
1836311903.17711,0.0
2971215073.17711,0.0
4807526976.17711,0.0
7778742049.17711,0.0
12586269025.17711,0.000993967056274414
20365011074.17711,0.0009980201721191406
32951280099.17711,0.0
53316291173.17711,0.0
86267571272.17711,0.0
139583862445.17711,0.0
225851433717.17711,0.0
365435296162.17711,0.0
591286729879.17711,0.0
956722026041.17711,0.0010139942169189453
46368.28657,0.0
75025.28657,0.0
121393.28657,0.0
196418.28657,0.0
