concatenationXY,time
6766.6765,0.000993967056274414
6767.6765,0.0
6768.6765,0.0
6769.6765,0.0
6770.6765,0.0010004043579101562
6771.6765,0.0
6772.6765,0.0
6773.6765,0.0
6774.6765,0.0
6775.6765,0.0
6776.6765,0.0
6777.6765,0.0
6778.6765,0.0010051727294921875
6779.6765,0.0
6780.6765,0.001033782958984375
6781.6765,0.0
6782.6765,0.0
6783.6765,0.0
6784.6765,0.0
6785.6765,0.0
6786.6765,0.0
6787.6765,0.0
6788.6765,0.0
6789.6765,0.0
6790.6765,0.0
6791.6765,0.0
6792.6765,0.0
6793.6765,0.0
6794.6765,0.0
6795.6765,0.0
6796.6765,0.0
6797.6765,0.0
6798.6765,0.0010018348693847656
6799.6765,0.0
6800.6765,0.0009932518005371094
6801.6765,0.0
6802.6765,0.0
6803.6765,0.0
6804.6765,0.0009963512420654297
6805.6765,0.0
6806.6765,0.0009965896606445312
6807.6765,0.0
6808.6765,0.0
6809.6765,0.0
6810.6765,0.0
6811.6765,0.0
6812.6765,0.0
6813.6765,0.0
6814.6765,0.0
6815.6765,0.0
6816.6765,0.0
6817.6765,0.0
6818.6765,0.0
6819.6765,0.0
6820.6765,0.0
6821.6765,0.0
6822.6765,0.0
6823.6765,0.0
6824.6765,0.0
6825.6765,0.0
6826.6765,0.0
6827.6765,0.0
6828.6765,0.0
6829.6765,0.0
6830.6765,0.0
6831.6765,0.0
6832.6765,0.0
6833.6765,0.0
6834.6765,0.0
6835.6765,0.0
6836.6765,0.0
6837.6765,0.0
6838.6765,0.0
6839.6765,0.0
6840.6765,0.0
6841.6765,0.0
6842.6765,0.0
6843.6765,0.0
6844.6765,0.0
6845.6765,0.0
6846.6765,0.0
6847.6765,0.0
6848.6765,0.0
6849.6765,0.0
6850.6765,0.0
6851.6765,0.0
6852.6765,0.0
6853.6765,0.0
6854.6765,0.0
6855.6765,0.0
6856.6765,0.0
6857.6765,0.0
6858.6765,0.0
6859.6765,0.0
6860.6765,0.000997304916381836
6861.6765,0.0
6862.6765,0.0
6863.6765,0.0
6864.6765,0.0
6865.6765,0.0009984970092773438
6866.6765,0.0
6867.6765,0.0
6868.6765,0.0
6869.6765,0.0
6870.6765,0.0
6871.6765,0.0
6872.6765,0.0
6873.6765,0.0
6874.6765,0.0
6875.6765,0.0
6876.6765,0.0
6877.6765,0.0
6878.6765,0.0
6879.6765,0.0
6880.6765,0.0
6881.6765,0.0
6882.6765,0.0
6883.6765,0.0
6884.6765,0.0
6885.6765,0.0
6886.6765,0.0
6887.6765,0.0
6888.6765,0.0
6889.6765,0.0
6890.6765,0.0
6891.6765,0.0
6892.6765,0.0
